"account_id","id","city","coordinates","country","device_id","hl","ip","open_from_qr_code","platform","viewing_date"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","123456","Colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","0m6fDmTCg","fr","","false","","2022-10-29T02:35:09.531Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","123457","Colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5AcV1CHHl","fr","","false","","2022-10-29T01:03:40.290Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","2mGfA1","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","5861488015.1668382364060","fr","80.9.240.131","false","web","2022-11-13T23:52:24.317Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","4AOLkA","tournefeuille","[{""N"":""43.5887""},{""N"":""1.3192""}]","fr","4465346072.1676384921184","fr","86.249.148.170","false","web","2023-02-14T23:40:24.873Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","5pyTyV","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","92.184.108.176","false","","2022-11-17T01:57:00.573Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","6TmsjY","astoria","[{""N"":""40.7571""},{""N"":""-73.9657""}]","us","6498160268.1671736104616","fr","74.64.54.99","false","web","2022-12-22T19:08:37.592Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","AGAeCh","colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","5752083506.1668813242600","en","80.9.240.131","false","app","2022-11-26T08:33:23.887Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","AXB1Ai","strasbourg","[{""N"":""48.5839""},{""N"":""7.7455""}]","fr","2047358982.1667950602534","en","92.184.124.75","false","web","2023-01-18T22:25:33.540Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","DhS9Z7","Colomiers","[{""N"":""1.3347""},{""N"":""43.6106""}]","fr","4UMwIlcDR","en","80.9.240.131","false","","2022-11-08T21:28:53.856Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","Gh1iRY","bordeaux","[{""N"":""44.8404""},{""N"":""-0.5805""}]","fr","3996159834.1668009239352","fr","92.184.108.202","false","web","2022-11-09T15:57:45.270Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","LS6opL","bad rappenau","[{""N"":""49.2385""},{""N"":""9.1018""}]","de","2047358982.1667950602534","en","37.24.81.254","false","web","2023-02-02T21:28:24.482Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","MWE1B4","marseille","[{""N"":""43.297""},{""N"":""5.3811""}]","fr","2047358982.1667950602534","en","178.249.212.31","false","web","2023-01-01T21:39:03.236Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","Ylk5v0","colomiers","[{""N"":""43.6106""},{""N"":""1.3347""}]","fr","5861488015.1668382364060","fr","80.9.240.131","false","web","2022-11-13T23:53:08.837Z"
"eu-west-1:0f4ad5be-9473-4a6f-863e-4428e918ce2d","aNkSp7","Bordeaux","[{""N"":""-0.5805""},{""N"":""44.8404""}]","fr","UKJEA06Vl","fr","92.184.108.83","false","","2022-11-18T10:54:54.182Z"
