"device_id","ip","model","os","os_version","platform","registration_date","user_agent"
"6445091222.1670525903966","80.9.240.131","","","","web","2022-12-08T18:58:23.966Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"""
"4256921660.1670873224476","80.9.240.131","","","","web","2022-12-12T19:27:04.476Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"3421737026.1680791780607","65.154.226.171","","","","web","2023-04-06T14:36:20.607Z","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/111.0.5563.64 Safari/537.36"""
"3407072634.1667950772026","80.9.240.131","","","","web","2022-11-08T23:39:32.026Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"7772827584.1669218855598","92.184.98.225","","","","web","2022-11-23T15:54:15.598Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"7461560129.1671158243555","40.77.202.1","","","","web","2022-12-16T02:37:23.555Z","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"""
"4863914331.1667954337120","80.9.240.131","","","","web","2022-11-09T00:38:57.120Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"6684479212.1667994085716","80.9.240.131","","","","web","2022-11-09T11:41:25.716Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9137085739.1667995537469","80.9.240.131","","","","web","2022-11-09T12:05:37.469Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"""
"7414066373.1668646652232","80.9.240.131","","","","web","2022-11-17T00:57:32.232Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9601990422.1668295333413","92.184.104.183","","","","web","2022-11-12T23:22:13.413Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"""
"9522252788.1677264341908","86.249.148.170","","","","web","2023-02-24T18:45:41.908Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"""
"4017102614.1677264699624","86.249.148.170","","","","web","2023-02-24T18:51:39.624Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"""
"5302957214.1668289019369","92.184.104.183","","","","web","2022-11-12T21:36:59.369Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9609231041.1668290613848","92.184.104.183","","","","web","2022-11-12T22:03:33.848Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"2040660438.1674721156080","37.24.81.254","","","","web","2023-01-26T08:19:16.080Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"""
"1977828199.1667954810135","80.9.240.131","","","","web","2022-11-09T00:46:50.135Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"4828014166.1667958841998","80.9.240.131","","","","web","2022-11-09T01:54:01.998Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"6229011351.1676763458115","86.249.148.170","","","","web","2023-02-18T23:37:38.115Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"""
"ycuJSae4u","139.178.131.83","iPhone 8","ios","16.2","","2022-12-22T02:30:25.197Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"""
"0430624446.1668290429069","92.184.104.183","","","","web","2022-11-12T22:00:29.069Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"4483856069.1669628830508","80.94.102.193","","","","web","2022-11-28T09:47:10.508Z","""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"4440898296.1668372106681","90.76.217.179","","","","web","2022-11-13T20:41:46.681Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"4741149055.1675693406408","37.24.81.254","","","","web","2023-02-06T14:23:26.408Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"""
"3569016434.1668536425065","80.9.240.131","","","","web","2022-11-15T18:20:25.065Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"VEY0Vl7P5","139.178.131.27","iPhone XR","ios","16.1.1","","2022-11-13T21:34:20.492Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"""
"7936961978.1668707967703","80.9.240.131","","","","web","2022-11-17T17:59:27.703Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"1125227699.1669124442177","92.184.98.116","","","","web","2022-11-22T13:40:42.177Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"0293462017.1668291121521","92.184.104.183","","","","web","2022-11-12T22:12:01.521Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"5892025657.1668681544900","42.236.10.93","","","","web","2022-11-17T10:39:04.900Z","""Mozilla/5.0 (Linux; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.3440.91 Mobile Safari/537.36 BingWeb/6.9.6"""
"8279874769.1675374032639","37.24.81.254","","","","web","2023-02-02T21:40:32.639Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"""
"5543345343.1668875231629","92.184.110.232","","","","web","2022-11-19T16:27:11.629Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"7834116697.1668439594347","80.9.240.131","","","","web","2022-11-14T15:26:34.347Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9500096822.1667955014156","80.9.240.131","","","","web","2022-11-09T00:50:14.156Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"2559462054.1668518200929","80.9.240.131","","","","web","2022-11-15T13:16:40.929Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"5258485917.1669028349551","80.9.240.131","","","","web","2022-11-21T10:59:09.551Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"3768077647.1677264584722","86.249.148.170","","","","web","2023-02-24T18:49:44.722Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"""
"0640614191.1679790684325","40.77.190.182","","","","web","2023-03-26T00:31:24.325Z","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"""
"2024164784.1676763185534","86.249.148.170","","","","web","2023-02-18T23:33:05.534Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"""
"2086005212.1670105466851","80.9.240.131","","","","web","2022-12-03T22:11:06.851Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"7717341320.1667992233870","80.9.240.131","","","","web","2022-11-09T11:10:33.870Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9005518133.1677264591859","86.249.148.170","","","","web","2023-02-24T18:49:51.859Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"""
"8548403505.1676763190434","86.249.148.170","","","","web","2023-02-18T23:33:10.434Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"""
"0473488476.1668439131907","80.9.240.131","","","","web","2022-11-14T15:18:51.907Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"5467656537.1668439398854","80.9.240.131","","","","web","2022-11-14T15:23:18.854Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"3323051532.1668791026819","139.178.131.81","iPhone 8 Plus","ios","16.1.1","app","2022-11-18T17:03:46.819Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"""
"3996159834.1668009239352","92.184.108.202","","","","web","2022-11-09T15:53:59.352Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"UKJEA06Vl","","Nokia 6.2","android","11","","2022-10-24T07:56:16.947Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2 Build/RKQ1.210607.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/103.0.5060.71 Mobile Safari/537.36"""
"0333891261.1674891523492","40.77.190.109","","","","web","2023-01-28T07:38:43.492Z","""Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b"""
"0238878526.1669415762452","141.22.28.61","","","","web","2022-11-25T22:36:02.453Z","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"5818464621.1667995870088","80.9.240.131","","","","web","2022-11-09T12:11:10.088Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"""
"1531743064.1677350609685","86.249.148.170","","","","web","2023-02-25T18:43:29.685Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Mobile Safari/537.36"""
"5682900901.1668290159902","92.184.104.183","","","","web","2022-11-12T21:55:59.902Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"2505437588.1668291402470","92.184.104.183","","","","web","2022-11-12T22:16:42.470Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9555949098.1670525905638","80.9.240.131","","","","web","2022-12-08T18:58:25.638Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"""
"6830765652.1668783978115","141.22.28.61","","","","web","2022-11-18T15:06:18.115Z","""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"""
"3560329278.1669223589227","92.184.98.225","","","","web","2022-11-23T17:13:09.227Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"3869282193.1668472733312","80.9.240.131","","","","web","2022-11-15T00:38:53.312Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"6371980989.1669745475049","80.9.240.131","","","","web","2022-11-29T18:11:15.049Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9675817783.1676763291129","86.249.148.170","","","","web","2023-02-18T23:34:51.129Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Mobile/15E148 Safari/604.1"""
"1498316427.1669138179540","80.9.240.131","","","","web","2022-11-22T17:29:39.540Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"0002876134.1676763345967","86.249.148.170","","","","web","2023-02-18T23:35:45.967Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36"""
"9617471265.1668124275603","92.184.108.90","","","","web","2022-11-10T23:51:15.603Z","""Mozilla/5.0 (Linux; Android 11; Nokia 6.2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36"""
"4596486521.1668555056774","80.9.240.131","","","","web","2022-11-15T23:30:56.774Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"0898000004.1667992665084","80.9.240.131","","","","web","2022-11-09T11:17:45.084Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9244483826.1668298444495","92.184.104.183","","","","web","2022-11-13T00:14:04.496Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"""
"1008725111.1670112238464","80.9.240.131","","","","web","2022-12-04T00:03:58.464Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"3005613868.1668291623730","92.184.104.183","","","","web","2022-11-12T22:20:23.730Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"5373552566.1677152832373","66.249.66.40","","","","web","2023-02-23T11:47:12.373Z","""Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.5481.77 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"""
"1263166334.1674113144238","80.187.73.208","","","","web","2023-01-19T07:25:44.238Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 16_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.0 Mobile/15E148 Safari/604.1"""
"7392673829.1670718388651","42.236.10.78","","","","web","2022-12-11T00:26:28.651Z","""Mozilla/5.0 (Linux; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/68.0.3440.91 Mobile Safari/537.36 BingWeb/6.9.6"""
"1255145625.1668285109461","92.184.104.183","","","","web","2022-11-12T20:31:49.461Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"0050246702.1667957089507","80.9.240.131","","","","web","2022-11-09T01:24:49.507Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9981419996.1668291521329","92.184.104.183","","","","web","2022-11-12T22:18:41.329Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"3645863134.1668439762371","80.9.240.131","","","","web","2022-11-14T15:29:22.371Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"9239357855.1668292227109","92.184.104.183","","","","web","2022-11-12T22:30:27.109Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"1804647500.1668438819861","80.9.240.131","","","","web","2022-11-14T15:13:39.861Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"5227131129.1670102548404","80.9.240.131","","","","web","2022-12-03T21:22:28.404Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"2744160337.1668606967729","80.9.240.131","","","","web","2022-11-16T13:56:07.729Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"0549736055.1668621040690","80.9.240.131","","","","web","2022-11-16T17:50:40.690Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"7680590338.1668290088289","92.184.104.183","","","","web","2022-11-12T21:54:48.289Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"7935916879.1668641735737","80.9.240.131","","","","web","2022-11-16T23:35:35.737Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"1209450336.1668291629681","92.184.104.183","","","","web","2022-11-12T22:20:29.681Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"0750784795.1668291550902","92.184.104.183","","","","web","2022-11-12T22:19:10.902Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"3654352939.1668289884809","92.184.104.183","","","","web","2022-11-12T21:51:24.809Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"2827387729.1673942356174","37.24.81.254","","","","web","2023-01-17T07:59:16.174Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36"""
"3000801484.1668290910672","92.184.104.183","","","","web","2022-11-12T22:08:30.672Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"4271155336.1669113760356","80.9.240.131","","","","web","2022-11-22T10:42:40.356Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Safari/605.1.15"""
"7262952100.1668461895968","80.9.240.131","","","","web","2022-11-14T21:38:15.968Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"7919231138.1668876033082","92.184.110.232","","","","web","2022-11-19T16:40:33.082Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"5971341138.1668293549959","92.184.104.183","","","","web","2022-11-12T22:52:29.959Z","""Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.4 Mobile/15E148 Safari/604.1"""
"5988043718.1668869073101","92.184.110.232","","","","web","2022-11-19T14:44:33.101Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
"6645786191.1668515603285","80.9.240.131","","","","web","2022-11-15T12:33:23.285Z","""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"""
